field_name,section,data_type,controlled_vocabulary,required,description,missing_allowed,derived_usage
record_id,Administrative,string,,yes,Unique study identifier.,no,Linkage key.
source_database,Administrative,categorical,pubmed|medline|europe_pmc|openalex|crossref|semantic_scholar|doaj|core|scopus|web_of_science|ieee_xplore|acm_digital_library|arxiv|medrxiv|biorxiv|manual_other,yes,Database/source of canonical record.,no,Source summaries.
source_file,Administrative,string,,no,Manual import filename/path where applicable.,yes,Audit trail.
dedupe_group_id,Administrative,string,,no,Duplicate cluster identifier.,yes,Deduplication reporting.
duplicate_status,Administrative,categorical,unique|canonical|duplicate,yes,Duplicate status.,no,Deduplication flow.
screening_priority,Screening,integer,1|2|3|4|5|6|7|8|9,no,Automation-assisted screening priority.,yes,Queue ordering.
reviewed_status,Screening,categorical,Not reviewed|In progress|Reviewed,yes,Human screening status.,no,Screening progress.
title_abstract_decision,Screening,categorical,Include|Exclude|Maybe/Unclear|Duplicate,no,Title/abstract decision.,yes,Screening counts.
exclusion_reason,Screening,categorical,Wrong concept/population|Wrong intervention/technology|Not AI/ML|Not review-topic relevant|Animal/non-human only|Non-research item|Duplicate|No abstract/insufficient information|Full text unavailable|Other,no,Main exclusion reason.,yes,PRISMA-ScR exclusion reasons.
reviewer,Screening,string,,no,Reviewer identifier.,yes,Audit trail.
review_date,Screening,date,YYYY-MM-DD,no,Date of screening decision.,yes,Audit trail.
reviewer_notes,Screening,string,,no,Reviewer notes.,yes,Audit trail.
full_text_sought,Screening,categorical,Yes|No|Not applicable,no,Whether full text was sought.,yes,Eligibility flow.
full_text_retrieved,Screening,categorical,Yes|No|Not applicable,no,Whether full text was retrieved.,yes,Eligibility flow.
full_text_decision,Screening,categorical,Include|Exclude|Maybe/Unclear|Not assessed,no,Full-text decision.,yes,Eligibility flow.
final_inclusion,Screening,categorical,Included|Excluded|Pending,yes,Final inclusion status.,no,Included-set definition.
charting_status,Screening,categorical,Not charted|In charting|Charted|Not applicable,yes,Charting status.,no,Charting progress.
title,Bibliographic,string,,yes,Paper title.,no,Screening and dedupe.
abstract,Bibliographic,string,,no,Abstract text.,yes,Screening and task mapping.
authors,Bibliographic,string,,no,Author list.,yes,Bibliographic reporting.
publication_year,Bibliographic,integer,1900-2100,yes,Publication year.,no,Temporal indices.
journal_or_venue,Bibliographic,string,,no,Journal/conference/venue.,yes,Venue summaries.
publication_type,Bibliographic,categorical,journal_article|conference_paper|review|systematic_review|preprint|book_chapter|thesis|other|unclear,no,Publication type.,yes,Evidence mapping.
doi,Bibliographic,string,,no,Digital Object Identifier.,yes,Deduplication.
pmid,Bibliographic,string,,no,PubMed identifier.,yes,Deduplication.
pmcid,Bibliographic,string,,no,PubMed Central identifier.,yes,Deduplication.
country_first_author,Study context,string,,no,Country of first author or lead institution.,yes,Geographic summaries.
